#,Creator,Type,City,Category,Places,Tips / Summary,Flag,Video URL
16,@tgsyfqh94,📸 Slideshow,Da Nang,Food & Drink,,"During our short trip to Da Nang and Hoi An, we enjoyed some nice meals from cafes to street food. The food was good, and the peaceful environment made everything better. The scenery was stunning, and it was a nice break from daily grind.",,https://www.tiktok.com/@tgsyfqh94/photo/7631853595222199570
17,@nykudon,🎥 Video,Ba Na Hills,Itinerary,,"Siapa yang punya rencana mau pergi ke Ba Na Hills?🥳🥳Gak udah bingung lagi kalo cari tempat sholat! karna disini nyediain prayer room loh😍Selain tempatnya strategis, disini juga enak luas bersih buat sholat, jadi jalan jalan dan main di bana lebih tenang lagi deh kalo udah menuntaskan kewajiban xixixi🥰🥰",,https://www.tiktok.com/@nykudon/video/7633058490319228180
18,@mutiasalmakha,🎥 Video,Ho Chi Minh,Tips & Budget,,"Kalau ke Ho Chi Minh, Vietnam jangan stay di District 1 doang 😭Karena kalau cuma di sana, kalian nggak bakal kerasa “murahnya Vietnam”.District 1 itu tourist trap. Tempat turis, harga turis.Buat bule mungkin murah, tapi buat kita orang Indonesia? Ya jatuhnya tetep mahal 😅Nggak relate sama biaya hidup harian di Indo.Coba deh main ke district lain kayak District 3, District 5, District 10, Tan Binh, dan area luar lainnya.Nah baru tuh kerasa bedanya 😭Makan lebih murah, kopi lebih murah, belanja juga beda jauh.Bahkan supermarket jangan ke Lotte terus. Cobain supermarket lokal Vietnam harganya bisa bikin bengong karena murah banget dibanding area turis 😭Intinya:Kalau mau ngerasain real cost of living Vietnam, jangan ngendon di District 1 doang ✈️🇻🇳",,https://www.tiktok.com/@mutiasalmakha/video/7638306857865514258
19,@rosswinss,📸 Slideshow,Ho Chi Minh,Itinerary,,Our 5D4N Ho Chi Minh City Itinerary. Vietnam is definitely on the top of my list as of 2026 🌟,,https://www.tiktok.com/@rosswinss/photo/7607123943970950421
20,@nikitaalfian,🎥 Video,Ba Na Hills,Itinerary,,"kok bisa ya ada tempat secakep ini di ketinggian 1,500mdpl🥹💗 kalau kalian ke vietnam jangan lupa masukin Ba Na Hilss ke itinerary kalian! 🇻🇳save & sha…",,https://www.tiktok.com/@nikitaalfian/video/7627074961886252309
21,@roamingwiththefel,🎥 Video,Da Nang,Food & Drink,,Can’t believe it is our last night.Da Nang has been our home for nearly 7 months.We have made some amazing memories as a family 🥰But our last night had to involve a trip to Boulevard Da Nang for the best Bingsu Followed by a trip to see the puppies 🐶Good Bye Da NangGood Bye Vietnam (for now😋),,https://www.tiktok.com/@roamingwiththefel/video/7627140951760178434
22,@thedeeshive,🎥 Video,Ba Na Hills,Activity,,to save time queueing up for tickets AND add on the WOW pass! Use THEDEESHIVE for additional discount.,,https://www.tiktok.com/@thedeeshive/video/7623430690117438741
23,@kisstour,🎥 Video,Hoi An,Attraction,,"Hoi An ancient town is one of Vietnam’s most charming destinations with history, vibrant culture, river views, beaches, food, and unforgettable experi…",,https://www.tiktok.com/@kisstour/video/7616198922570190100
24,@rocelp,📸 Slideshow,Vietnam (General),Shopping,Just Viet (instant coffee brand),Vietnamese instant coffee recommendation — 'Just Viet' brand. Great as souvenir/pasalubong.,,https://www.tiktok.com/@rocelp/photo/7635609799920487698
25,@marikowanderlust,🎥 Video,Hoi An,Food & Drink,,a little coffee stop in Hoi An and  it might just be your fav one~ they literally serve the prettiest coffee ever🥹☕️,,https://www.tiktok.com/@marikowanderlust/video/7618183618388626708
